id,component,category,scope,current_value,unit,risk_class,replacement_behavior,rationale,source_file
api.validation.annual_fee,workers/api,validation,home-loan normalization,0..1000000,AUD,continuation_throttle,Very large fees remain ingestible and can be filtered in trusted views.,Outlier fee values should not be silently discarded.,workers/api/src/ingest/normalize.ts
api.validation.savings_td_rate_percent,workers/api,validation,savings and term-deposit normalization,0..100,%,continuation_throttle,Broad rates are stored; consumer routes can still default to trusted ranges.,Write-time rejection of unusual savings/TD rates is lossy.,workers/api/src/ingest/normalize-savings.ts
api.validation.td_term_months,workers/api,validation,term-deposit normalization,1..1200,months,continuation_throttle,Only structurally impossible term lengths are rejected; long durations remain ingestible.,The old 120-month cap could omit legitimate long-maturity products.,workers/api/src/ingest/normalize-savings.ts
api.validation.collection_date,workers/api,validation,all ingest rows,1990-01-01..today+1d,date,continuation_throttle,Invalid dates are still hard rejects because they break longitudinal indexing.,"This is a structural integrity guardrail, not a quality clamp.",workers/api/src/ingest/validate-common.ts
api.query.page_size_max,workers/api,query,paginated list endpoints,1000,rows per page,continuation_throttle,Clients page through all results instead of relying on a single oversized response.,Per-page sizing is safe when the next page remains accessible.,workers/api/src/db/queries.ts
api.query.latest_limit_max,workers/api,query,latest endpoints,1000,rows,abuse_guardrail,Analyst exports and paginated list endpoints provide full retrieval when current latest views exceed synchronous caps.,Synchronous latest lists can stay bounded if full retrieval exists elsewhere.,workers/api/src/db/queries.ts
api.query.timeseries_page_size,workers/api,query,timeseries endpoints,1000,rows per page,continuation_throttle,Use cursor pagination to traverse the full series without truncation.,Timeseries access is non-lossy as long as cursors continue the series.,workers/api/src/routes/public.ts
api.query.export_max_rows_sync,workers/api,query,legacy synchronous export endpoints,10000,rows,abuse_guardrail,Use `POST /exports` plus artifact download routes for complete public exports.,"Legacy sync exports remain for compatibility, but full retrieval must use async export jobs.",workers/api/src/db/queries.ts
api.admin.db_rows_limit,workers/api,admin,admin diagnostics table previews,1..500,rows,abuse_guardrail,Admin previews stay bounded; deep retrieval should use targeted queries or exports.,Operational admin pages do not need unbounded synchronous dumps.,workers/api/src/routes/admin-db.ts
api.logs.query_limit_max,workers/api,logging,system log downloads,10000,rows,abuse_guardrail,Bound synchronous log pulls and rely on repeated paging or download-specific tooling for deeper audits.,"Log browsing is operational, not part of the canonical rate history.",workers/api/src/utils/logger.ts
site.pivot.page_fetch_size,site,frontend,pivot data loading,1000,rows per API page,continuation_throttle,"The browser fetches all pages sequentially instead of stopping at 10,000 rows.",Frontend convenience must not cap analyst retrieval scope.,site/ar-pivot.js
site.chart.max_points,site,frontend,interactive chart rendering,1000,points rendered,ui_guardrail,"Fetch the full filtered dataset, render a sampled chart when dense, and direct users to full export artifacts for complete retrieval.",UI responsiveness is a valid constraint only if the full dataset remains retrievable.,site/ar-charts.js
site.client_log.queue_max,site,frontend,browser log buffer,500,entries,ui_guardrail,"Old client logs may roll off locally, but canonical server-side diagnostics remain durable.","Frontend log buffers are convenience features, not source-of-truth archives.",site/ar-utils.js
archive.discovery.fetch_timeout_ms,workers/archive,discovery,register fetch attempt,20000,ms,continuation_throttle,Retries and subsequent scheduled runs preserve discovery continuity when a single attempt times out.,Timeouts are acceptable if failed attempts remain observable and retryable.,workers/archive/src/discovery.ts
archive.discovery.max_retries_per_url,workers/archive,discovery,register fetch retry policy,3,attempts,continuation_throttle,Each failed attempt should be recorded in append-only discovery history and retried later if still unresolved.,Retry counts are fine when they do not erase failure evidence.,workers/archive/src/discovery.ts
archive.discovery.failure_payload_max_chars,workers/archive,discovery,failure payload storage,50000,chars,lossy_forbidden,Persist full failure payloads to object storage and only truncate UI previews if needed.,Truncated failure bodies can hide the exact cause of discovery regressions.,workers/archive/src/discovery.ts
archive.admin.endpoints_limit_max,workers/archive,admin,archive admin endpoint list,1000,rows,abuse_guardrail,Use paging or targeted filters for large admin result sets.,Operational admin screens can stay bounded.,workers/archive/src/index.ts
